,年份,分区,项目,合计_surface,农田灌溉_surface,林牧渔畜_surface,工业_surface,城镇公共_surface,居民生活_surface,生态环境_surface,合计_groundwater,农田灌溉_groundwater,林牧渔畜_groundwater,工业_groundwater,城镇公共_groundwater,居民生活_groundwater,生态环境_groundwater
88,2007,合计,取水量,354.13,270.15,24.34,35.44,5.22,12.27,6.71,130.75,62.55,10.55,34.11,4.66,17.46,1.42
89,2007,合计,耗水量,288.78,219.44,21.45,26.88,4.74,9.84,6.43,91.0,52.74,8.92,15.13,2.24,10.81,1.16
90,2008,河源-兰州,取水量,1.88,0.88,0.74,0.12,0.01,0.12,0.01,0.15,0.0,0.01,0.05,0.04,0.05,0.0
91,2008,河源-兰州,耗水量,1.57,0.76,0.63,0.08,0.01,0.08,0.01,0.07,0.0,0.01,0.02,0.01,0.03,0.0
92,2008,兰州-头道拐,取水量,29.13,20.34,1.5,4.48,0.53,1.77,0.51,6.03,1.44,0.04,2.57,0.46,1.36,0.16
93,2008,兰州-头道拐,耗水量,25.06,17.59,1.27,3.88,0.49,1.33,0.5,3.19,1.21,0.03,0.78,0.19,0.87,0.11
94,2008,头道拐-龙门,取水量,150.82,126.91,11.88,7.66,1.0,1.67,1.7,26.6,12.71,2.07,8.05,1.02,2.6,0.15
95,2008,头道拐-龙门,耗水量,101.87,82.44,10.36,5.42,0.78,1.33,1.54,18.83,10.67,1.74,4.4,0.54,1.39,0.09
96,2008,龙门-三门峡,取水量,10.61,6.26,0.63,2.58,0.4,0.71,0.03,6.48,2.75,0.39,2.04,0.18,0.96,0.16
97,2008,龙门-三门峡,耗水量,8.92,5.22,0.52,2.19,0.39,0.57,0.03,4.76,2.31,0.33,1.2,0.08,0.7,0.14
98,2008,三门峡-花园口,取水量,48.38,33.79,2.56,5.56,1.5,4.16,0.81,52.1,23.9,4.12,13.41,1.85,8.12,0.7
99,2008,三门峡-花园口,耗水量,40.48,29.43,2.2,3.96,1.35,2.75,0.79,36.79,20.07,3.46,6.7,0.94,4.93,0.69
100,2008,花园口-利津,取水量,22.83,13.77,0.71,6.17,0.5,1.4,0.28,15.83,4.08,0.87,7.35,0.51,2.61,0.41
101,2008,花园口-利津,耗水量,20.24,12.79,0.63,4.86,0.48,1.22,0.26,8.65,3.34,0.72,2.38,0.22,1.66,0.33
102,2008,利津-河口,取水量,97.47,71.48,3.38,9.04,1.2,4.2,8.17,18.63,11.6,1.8,2.41,0.35,2.4,0.07
103,2008,利津-河口,耗水量,96.28,70.93,3.2,8.75,1.18,4.07,8.15,13.53,9.51,1.48,0.75,0.17,1.6,0.02
104,2008,黄河内流区,取水量,1.99,1.54,0.23,0.0,0.0,0.01,0.21,2.02,0.95,0.54,0.37,0.06,0.09,0.01
105,2008,黄河内流区,耗水量,1.72,1.31,0.19,0.0,0.0,0.01,0.21,1.58,0.78,0.45,0.24,0.04,0.06,0.01
106,2008,合计,取水量,363.11,274.97,21.63,35.61,5.14,14.04,11.72,127.84,57.43,9.84,36.25,4.47,18.19,1.66
107,2008,合计,耗水量,296.14,220.47,19.0,29.14,4.68,11.36,11.49,87.4,47.89,8.22,16.47,2.19,11.24,1.39
108,2009,河源-兰州,取水量,2.09,1.0,0.83,0.13,0.02,0.1,0.01,0.13,0.0,0.01,0.03,0.04,0.05,0.0
109,2009,河源-兰州,耗水量,1.67,0.84,0.66,0.08,0.02,0.06,0.01,0.06,0.0,0.01,0.01,0.01,0.03,0.0
